iter	MultiClass
0	1.076765059
1	1.052040915
2	1.027217148
3	1.008786704
4	0.9865729432
5	0.9667963828
6	0.9494113686
7	0.9318906822
8	0.9144154731
9	0.8972191916
10	0.8810807528
11	0.8672476245
12	0.8541614786
13	0.8413109411
14	0.828657865
15	0.8162340459
16	0.8048397704
17	0.7939625154
18	0.7838900588
19	0.7754051866
20	0.7667830642
21	0.7581422586
22	0.7485234135
23	0.7401438627
24	0.7316634161
25	0.7244906558
26	0.7163841425
27	0.7090608239
28	0.7015739688
29	0.6935450769
30	0.6860944981
31	0.6793520403
32	0.6729406869
33	0.6666164005
34	0.660248929
35	0.6534803376
36	0.6477480524
37	0.6422279011
38	0.6387221834
39	0.6328350632
40	0.6275169289
41	0.6225429726
42	0.616943089
43	0.6117546832
44	0.6073575419
45	0.6022154024
46	0.5971191426
47	0.5925398146
48	0.588347304
49	0.5840886367
50	0.5794442032
51	0.5754949404
52	0.5711669861
53	0.5664270553
54	0.5621466388
55	0.5589310681
56	0.5553202765
57	0.5509411616
58	0.5470488978
59	0.5435989159
60	0.5408278457
61	0.5368392596
62	0.5331965546
63	0.5302690202
64	0.5268605012
65	0.5237973541
66	0.5207132793
67	0.5176716713
68	0.5142228149
69	0.5113026856
70	0.5084923991
71	0.5058037415
72	0.5028872589
73	0.49978724
74	0.4973897895
75	0.4960070025
76	0.493733612
77	0.4917395334
78	0.4894598144
79	0.486714095
80	0.4839133047
81	0.4817977799
82	0.4792977387
83	0.4772255763
84	0.4751668967
85	0.4726493288
86	0.4700811787
87	0.4678111421
88	0.4658595818
89	0.464143587
90	0.4624299134
91	0.4601647759
92	0.4583751304
93	0.456375415
94	0.4548965033
95	0.4524047686
96	0.450190407
97	0.4485227638
98	0.4460239331
99	0.4441367658
100	0.4412589081
101	0.4393129947
102	0.4376090873
103	0.4356448653
104	0.4332945457
105	0.4311257156
106	0.4294590353
107	0.4276192714
108	0.4251552335
109	0.4238851231
110	0.4221653326
111	0.4202742875
112	0.4186096763
113	0.4175347705
114	0.4161739312
115	0.4142468061
116	0.4131981409
117	0.4115439566
118	0.4093805388
119	0.4078207579
120	0.4066455945
121	0.4046696079
122	0.4034019055
123	0.4019259527
124	0.4007772426
125	0.3993033181
126	0.39801386
127	0.396970906
128	0.3954312489
129	0.3945108257
130	0.3931032412
131	0.3918369699
132	0.3903704688
133	0.3886035974
134	0.3868202275
135	0.3850550255
136	0.3833318315
137	0.3817596347
138	0.3806522416
139	0.3796195033
140	0.3782645809
141	0.3772175146
142	0.3758045672
143	0.3743404833
144	0.3727957506
145	0.3714977841
146	0.3706477091
147	0.3697237555
148	0.3684941289
149	0.3670316769
150	0.3663844638
151	0.3648993067
152	0.3632553309
153	0.3623973581
154	0.3610110625
155	0.3597689734
156	0.3583825788
157	0.3565405898
158	0.3554479636
159	0.3542884269
160	0.3528843587
161	0.3514426412
162	0.3502618449
163	0.3488802897
164	0.347479814
165	0.3454224794
166	0.3444420416
167	0.343228138
168	0.341567645
169	0.3401582635
170	0.339201062
171	0.3380695339
172	0.3366417205
173	0.3351025533
174	0.3338950567
175	0.3330527272
176	0.3319598937
177	0.3309968405
178	0.3299654813
179	0.3288369064
180	0.3277077499
181	0.3266873384
182	0.3256124894
183	0.324402777
184	0.3237002244
185	0.3226928794
186	0.3217892044
187	0.3203429378
188	0.3193112256
189	0.3181562496
190	0.3168851388
191	0.3156768657
192	0.3147110159
193	0.3136490137
194	0.3122882942
195	0.3115180641
196	0.3102245735
197	0.308906479
198	0.3080198541
199	0.3070648583
200	0.3058299358
201	0.3051798846
202	0.3044783883
203	0.3032243358
204	0.3022213798
205	0.30128062
206	0.2999369733
207	0.2988336516
208	0.2980421166
209	0.2966919045
210	0.2955018105
211	0.2946409398
212	0.2935596745
213	0.2925495912
214	0.2912578519
215	0.2903399335
216	0.2896568091
217	0.2886781999
218	0.2877472016
219	0.2869293449
220	0.2858836549
